Inventarisnr;Omschrijving;Straat;Thv;XCoord;YCoord;Deelgem;Mutdatum;Dooruser
FT1;Fietstrommel;ESSENBURGSNGL;9;51,92293167;4,46130991;Delfshaven;19/05/10;STREPE
FT10;Fietstrommel;PANNEKOEKSTR;97;51,92206955;4,48883009;Centrum;07/06/09;Conversie
FT100;Fietstrommel;SCHIEKD;155;51,92634964;4,47619009;Noord;08/07/10;BEHEER-STZ
FT101;Fietstrommel;SCHIEKD;55;51,92972183;4,471380234;Noord;08/07/10;BEHEER-STZ
FT102;Fietstrommel;NOORDSNGL;72;51,93019867;4,478919983;Noord;08/07/10;BEHEER-STZ
FT103;Fietstrommel;SCHEPENSTR;48;51,93014908;4,466259956;Noord;08/07/10;BEHEER-STZ
FT104;Fietstrommel;SCHEPENSTR;34;51,93059921;4,466469765;Noord;08/07/10;BEHEER-STZ
FT105;Fietstrommel;S GRAVENDYKWAL;24;51,91860962;4,463260174;Centrum;08/07/10;BEHEER-STZ
FT106;Fietstrommel;K BAJONETSTR;4;51,91849136;4,464799881;Centrum;08/07/10;BEHEER-STZ
FT107;Fietstrommel;BREITNERSTR;115;51,91304016;4,467279911;Centrum;20/04/11;OOMEBE
FT108;Fietstrommel;MAASKD;146;51,91186905;4,490469933;Feijenoord;08/07/10;BEHEER-STZ
FT109;Fietstrommel;AKELEISTR;17;51,92136002;4,463809967;Centrum;08/07/10;BEHEER-STZ
FT11;Fietstrommel;KORTENAERSTR;1;51,91389084;4,478149891;Centrum;07/06/09;Conversie
FT110;Fietstrommel;ROCHUSSENSTR;105;51,91262817;4,466289997;Centrum;08/07/10;BEHEER-STZ
FT111;Fietstrommel;W DE WITHHOF;4;51,91598892;4,479259968;Centrum;07/06/09;Conversie
FT112;Fietstrommel;ORCHIDEESTR;4;51,94322968;4,473919868;Hillegersberg;07/06/09;Conversie
FT113;Fietstrommel;SAENREDAMPLN;7;51,93852997;4,422210217;Overschie;08/07/10;STREPE
FT114;Fietstrommel;SAENREDAMPLN;7;51,93852997;4,42222023;Overschie;08/07/10;BEHEER-STZ
FT115;Fietstrommel;GR FLORISSTR;22;51,92086029;4,459169865;Delfshaven;08/07/10;STREPE
FT116;Fietstrommel;GR FLORISSTR;100;51,91913986;4,456970215;Delfshaven;16/07/10;OOMEBE
FT117;Fietstrommel;GR FLORISSTR;50;51,92021942;4,458360195;Delfshaven;07/06/09;Conversie
FT118;Fietstrommel;BEUKELSDK;14;51,92173004;4,459070206;Delfshaven;08/07/10;BEHEER-STZ
FT119;Fietstrommel;C DE VRIESELN;64;51,91563034;4,45953989;Delfshaven;07/06/09;Conversie
FT12;Fietstrommel;ENGELSESTR;135;51,91588974;4,417230129;Delfshaven;07/06/09;Conversie
FT120;Fietstrommel;MATHENESSERLN;244;51,91450119;4,461639881;Delfshaven;07/06/09;Conversie
FT121;Fietstrommel;MATHENESSERLN;362;51,91342163;4,45250988;Delfshaven;08/07/10;STREPE
FT122;Fietstrommel;SCHIETBAANLN;182;51,91566849;4,459300041;Delfshaven;08/07/10;BEHEER-STZ
FT123;Fietstrommel;V CITTERSSTR;44;51,91836929;4,446209908;Delfshaven;08/07/10;BEHEER-STZ
FT124;Fietstrommel;MATHENESSERLN;424;51,91419983;4,449440002;Delfshaven;08/07/10;STREPE
FT125;Fietstrommel;BURG MEINESZLN;9;51,9174881;4,45386982;Delfshaven;08/07/10;BEHEER-STZ
FT126;Fietstrommel;ESSENBURGSNGL;125;51,92129898;4,446499825;Delfshaven;08/07/10;STREPE
FT127;Fietstrommel;MATHENESSERDK;390;51,91167068;4,446829796;Delfshaven;08/07/10;BEHEER-STZ
FT128;Fietstrommel;STATIONSSNGL;0;51,93138123;4,475900173;Noord;08/07/10;STREPE
FT129;Fietstrommel;NOORDSNGL;146;51,93138123;4,475900173;Noord;08/07/10;BEHEER-STZ
FT13;Fietstrommel;ENGELSESTR;135;51,91588974;4,417240143;Delfshaven;07/06/09;Conversie
FT130;Fietstrommel;NOORDERHAVENKD;111;51,93309021;4,46036005;Noord;08/07/10;STREPE
FT131;Fietstrommel;NOORDERHAVENKD;113;51,93304825;4,460400105;Noord;08/07/10;BEHEER-STZ
FT132;Fietstrommel;LUMEYSTR;13;51,92781067;4,462790012;Noord;08/07/10;STREPE
FT133;Fietstrommel;BOISOTSTR;16;51,92773819;4,462749958;Noord;08/07/10;BEHEER-STZ
FT134;Fietstrommel;STATENSNGL;136;51,926651;4,456689835;Noord;08/07/10;STREPE
FT135;Fietstrommel;SCHIEBROEKSELN;54;51,93677139;4,475349903;Noord;08/07/10;BEHEER-STZ
FT136;Fietstrommel;SCHIEBROEKSELN;63;51,93632889;4,475689888;Noord;08/07/10;STREPE
FT137;Fietstrommel;PUTSELN;218;51,89741135;4,496399879;Feijenoord;08/07/10;BEHEER-STZ
FT138;Fietstrommel;DORDTSELN;92;51,89480972;4,494130135;Feijenoord;08/07/10;STREPE
FT139;Fietstrommel;PUTSEBOCHT;194;51,89268112;4,494649887;Feijenoord;10/08/10;OOMEBE
FT14;Fietstrommel;C DE VRIESELN;41;51,9164505;4,459209919;Delfshaven;06/07/10;STREPE
FT140;Fietstrommel;MAASKD;137;51,9120903;4,490839958;Feijenoord;08/07/10;STREPE
FT141;Fietstrommel;MAASKD;80;51,91442871;4,494780064;Feijenoord;08/07/10;BEHEER-STZ
FT142;Fietstrommel;MAASKD;137;51,9120903;4,490839958;Feijenoord;08/07/10;STREPE
FT143;Fietstrommel;MAASKD;102;51,9134903;4,493199825;Feijenoord;08/07/10;BEHEER-STZ
FT144;Fietstrommel;GOEDE HOOPSTR;40;51,89842987;4,49698019;Feijenoord;08/07/10;STREPE
FT145;Fietstrommel;DIERGAARDESNGL;90;51,92134094;4,469309807;Centrum;08/07/10;BEHEER-STZ
FT146;Fietstrommel;DIERGAARDESNGL;90;51,92134094;4,46931982;Centrum;08/07/10;STREPE
FT147;Fietstrommel;KRALINGSE PLASLN;91;51,9317894;4,508470058;Kralingen/Crooswijk;08/07/10;BEHEER-STZ
FT148;Fietstrommel;CROOSWYKSESNGL;16;51,92974091;4,489659786;Kralingen/Crooswijk;08/07/10;STREPE
FT149;Fietstrommel;JERICHOLN;81;51,93013;4,506299973;Kralingen/Crooswijk;08/07/10;BEHEER-STZ
FT15;Fietstrommel;C DE VRIESELN;41;51,9164505;4,459219933;Delfshaven;07/06/09;Conversie
FT150;Fietstrommel;1E JERICHOSTR;93;51,92967987;4,506490231;Kralingen/Crooswijk;08/07/10;STREPE
FT151;Fietstrommel;1E JERICHOSTR;91A;51,92964935;4,506609917;Kralingen/Crooswijk;08/07/10;BEHEER-STZ
FT152;Fietstrommel;DORPSWG;53;51,89007187;4,472430229;Charlois;08/07/10;STREPE
FT153;Fietstrommel;OOSTVOORNSESTR;9;51,89070892;4,468589783;Charlois;08/07/10;BEHEER-STZ
FT154;Fietstrommel;SAFTLEVENSTR;2;51,91334915;4,465499878;Centrum;08/07/10;STREPE
FT155;Fietstrommel;V BYLANDTPLAATS;36;51,91901016;4,476240158;Centrum;08/07/10;BEHEER-STZ
FT156;Fietstrommel;SCHEEPSTIMMERM LN;27;51,91025925;4,478020191;Centrum;08/07/10;STREPE
FT157;Fietstrommel;KORTENAERSTR;32;51,91352844;4,476719856;Centrum;08/07/10;BEHEER-STZ
FT158;Fietstrommel;VEERKD;5;51,90819168;4,479239941;Centrum;08/07/10;STREPE
FT159;Fietstrommel;VEERKD;5;51,90819168;4,479249954;Centrum;08/07/10;BEHEER-STZ
FT16;Fietstrommel;C DE VRIESELN;43;51,91638947;4,459209919;Delfshaven;07/06/09;Conversie
FT160;Fietstrommel;WESTERSTR;24;51,90943146;4,481709957;Centrum;08/07/10;STREPE
FT161;Fietstrommel;WYNHAVEN;19;51,91852188;4,49090004;Centrum;08/07/10;BEHEER-STZ
FT162;Fietstrommel;STATIONSSNGL;91;51,92594147;4,463940144;Noord;19/07/11;OOMEBE
FT163;Fietstrommel;WESTZEEDK;341;51,91072083;4,473810196;Centrum;16/09/10;STREPE
FT164;Fietstrommel;BLEKERSTR;8;51,91561127;4,481190205;Centrum;30/05/12;OOMEBE
FT165;Fietstrommel;GOUDSESNGL;266;51,92427826;4,489580154;Centrum;08/07/10;BEHEER-STZ
FT166;Fietstrommel;ORANJESTR;29;51,9428215;4,422770023;Overschie;08/07/10;STREPE
FT167;Fietstrommel;BREITNERSTR;17-A;51,91588974;4,470170021;Centrum;08/07/10;BEHEER-STZ
FT168;Fietstrommel;BREITNERSTR;17-A;51,91588974;4,470180035;Centrum;08/07/10;STREPE
FT169;Fietstrommel;ROCHUSSENSTR;29;51,91553879;4,470449924;Centrum;08/07/10;BEHEER-STZ
FT17;Fietstrommel;C DE VRIESELN;52;51,91595078;4,459499836;Delfshaven;07/06/09;Conversie
FT170;Fietstrommel;ROCHUSSENSTR;31;51,91547012;4,470369816;Centrum;08/07/10;STREPE
FT171;Fietstrommel;ROCHUSSENSTR;33;51,91539001;4,470290184;Centrum;08/07/10;BEHEER-STZ
FT172;Fietstrommel;ROCHUSSENSTR;35;51,91530991;4,470220089;Centrum;08/07/10;STREPE
FT173;Fietstrommel;KRALINGSE PLASLN;0;51,9306488;4,507649899;Kralingen/Crooswijk;08/07/10;BEHEER-STZ
FT174;Fietstrommel;2E JERICHOSTR;15;51,9306488;4,507649899;Kralingen/Crooswijk;08/07/10;STREPE
FT175;Fietstrommel;2E JERICHOSTR;15;51,9306488;4,507659912;Kralingen/Crooswijk;08/07/10;BEHEER-STZ
FT176;Fietstrommel;JERICHOLN;95;51,92966843;4,506010056;Kralingen/Crooswijk;08/07/10;STREPE
FT177;Fietstrommel;WOLPHAERTSBOCHT;355;51,8924408;4,480649948;Charlois;08/07/10;BEHEER-STZ
FT178;Fietstrommel;MYNSHERENLN;123;51,89339828;4,490729809;Charlois;08/07/10;STREPE
FT179;Fietstrommel;BOERGOENSESTR;56;51,89257813;4,472899914;Charlois;08/07/10;BEHEER-STZ
FT18;Fietstrommel;PUTSEBOCHT;135A;51,89368057;4,49654007;Feijenoord;06/07/10;STREPE
FT180;Fietstrommel;STREVELSWG;134;51,88953018;4,500360012;Feijenoord;08/07/10;STREPE
FT181;Fietstrommel;RANDWG;106;51,89160919;4,513110161;Feijenoord;03/01/12;OOMEBE
FT182;Fietstrommel;RANDWG;136;51,89083099;4,51417017;Feijenoord;08/07/10;STREPE
FT183;Fietstrommel;HILLEDK;265;51,89857101;4,509339809;Feijenoord;08/07/10;BEHEER-STZ
FT184;Fietstrommel;VD TAKSTR;35;51,91437912;4,495610237;Feijenoord;08/07/10;STREPE
FT185;Fietstrommel;PR HENDRIKKD;114;51,91172028;4,493889809;Feijenoord;08/07/10;BEHEER-STZ
FT186;Fietstrommel;PR HENDRIKKD;114;51,91172028;4,493899822;Feijenoord;08/07/10;STREPE
FT187;Fietstrommel;PR HENDRIKKD;153;51,91028976;4,490859985;Feijenoord;08/07/10;BEHEER-STZ
FT188;Fietstrommel;BREITNERSTR;93;51,91436005;4,467160225;Centrum;08/07/10;STREPE
FT189;Fietstrommel;JACOBUSSTR;191;51,91764832;4,474090099;Centrum;08/07/10;BEHEER-STZ
FT19;Fietstrommel;W VARKENOORDSEWG;139;51,89622879;4,515399933;Feijenoord;08/07/11;OOMEBE
FT190;Fietstrommel;BAAN;50;51,91419983;4,480559826;Centrum;08/07/10;STREPE
FT191;Fietstrommel;BAAN;50;51,91419983;4,480559826;Centrum;03/08/12;BRUIPE
FT192;Fietstrommel;ST MARIASTR;114;51,91856003;4,468279839;Centrum;07/06/09;Conversie
FT193;Fietstrommel;V VOLLENHOVENSTR;34;51,91051102;4,47781992;Centrum;07/06/09;Conversie
FT194;Fietstrommel;HAAGSEVEER;94;51,92264938;4,481780052;Centrum;07/06/09;Conversie
FT195;Fietstrommel;STATENSNGL;177;51,92726135;4,456689835;Noord;07/06/09;Conversie
FT196;Fietstrommel;SCHEPENSTR;99;51,92731857;4,463180065;Noord;07/06/09;Conversie
FT197;Fietstrommel;SCHEPENSTR;99;51,92731857;4,463190079;Noord;08/07/10;BEHEER-STZ
FT198;Fietstrommel;BESEMERSTR;4;51,93336105;4,459889889;Noord;07/06/09;Conversie
FT199;Fietstrommel;BESEMERSTR;4;51,93336105;4,459899902;Noord;07/06/09;Conversie
FT2;Fietstrommel;ESSENBURGSNGL;8;51,92293167;4,461420059;Delfshaven;06/07/10;STREPE
FT20;Fietstrommel;BREEWG;16;51,89089966;4,518380165;Feijenoord;08/07/11;OOMEBE
FT200;Fietstrommel;BYLWERFFSTR;13;51,93260956;4,457640171;Noord;07/06/09;Conversie
FT201;Fietstrommel;BYLWERFFSTR;33;51,93199921;4,455770016;Noord;07/06/09;Conversie
FT202;Fietstrommel;BYLWERFFSTR;45;51,93173981;4,454949856;Noord;13/07/10;STREPE
FT203;Fietstrommel;VROESENLN;54;51,93013;4,456679821;Noord;13/07/10;STREPE
FT204;Fietstrommel;VROESENLN;54;51,93013;4,456689835;Noord;07/06/09;Conversie
FT205;Fietstrommel;J V TROYENSTR;3;51,92901993;4,464590073;Noord;07/06/09;Conversie
FT206;Fietstrommel;SCHEPENSTR;76;51,92871857;4,465030193;Noord;07/06/09;Conversie
FT207;Fietstrommel;SCHEPENSTR;80;51,92856979;4,464829922;Noord;07/06/09;Conversie
FT208;Fietstrommel;BLOMMERSDYKSELN;35;51,93841171;4,480080128;Noord;07/06/09;Conversie
FT209;Fietstrommel;J CATSSTR;27;51,93394852;4,482530117;Noord;07/06/09;Conversie
FT21;Fietstrommel;ZESTIENHOVENSTR;34a;51,93447113;4,471869946;Noord;07/06/09;Conversie
FT210;Fietstrommel;V BEUNINGENSTR;9;51,92900848;4,457640171;Noord;26/04/11;OOMEBE
FT211;Fietstrommel;NOBELSTR;69;51,93325043;4,458159924;Noord;07/06/09;Conversie
FT212;Fietstrommel;NOBELSTR;69;51,93325043;4,458169937;Noord;07/06/09;Conversie
FT213;Fietstrommel;BERGSELN;295;51,93307877;4,463940144;Noord;13/07/10;STREPE
FT214;Fietstrommel;A KUYPERLN;80;51,93450928;4,463459969;Noord;30/05/12;OOMEBE
FT215;Fietstrommel;HEEMSTEESTR;111;51,93141937;4,472529888;Noord;13/07/10;STREPE
FT216;Fietstrommel;1E PYNACKERSTR;139;51,93291855;4,480400085;Noord;13/07/10;STREPE
FT217;Fietstrommel;BYLWERFFSTR;11;51,93265152;4,457759857;Noord;07/06/09;Conversie
FT218;Fietstrommel;VROESENLN;73-75;51,93128967;4,455339909;Noord;13/07/10;STREPE
FT219;Fietstrommel;BYLWERFFSTR;65;51,9317894;4,454909801;Noord;07/06/09;Conversie
FT22;Fietstrommel;OOSTMAASLN;125;51,91817856;4,511670113;Kralingen/Crooswijk;07/06/09;Conversie
FT220;Fietstrommel;SCHEPENSTR;108;51,92758942;4,463540077;Noord;07/06/09;Conversie
FT221;Fietstrommel;SCHIEKD;7;51,93078995;4,469639778;Noord;07/06/09;Conversie
FT222;Fietstrommel;SCHIEKD;7;51,93078995;4,469649792;Noord;07/06/09;Conversie
FT223;Fietstrommel;STATIONSSNGL;65;51,92541122;4,465159893;Noord;07/06/09;Conversie
FT224;Fietstrommel;DIERGAARDESNGL;55;51,92210007;4,467750072;Centrum;07/06/09;Conversie
FT225;Fietstrommel;S GRAVENDYKWAL;80;51,91611099;4,463019848;Centrum;13/07/10;STREPE
FT226;Fietstrommel;AEGIDIUSSTR;88;51,92398834;4,510640144;Kralingen/Crooswijk;07/06/09;Conversie
FT227;Fietstrommel;1E JERICHOSTR;76;51,92940903;4,507540226;Kralingen/Crooswijk;07/06/09;Conversie
FT228;Fietstrommel;MILLINXSTR;126;51,89115143;4,492939949;Charlois;13/07/10;STREPE
FT229;Fietstrommel;MYNSHERENLN;160;51,89184189;4,489729881;Charlois;13/07/10;STREPE
FT23;Fietstrommel;OOSTMAASLN;123;51,91817093;4,511740208;Kralingen/Crooswijk;07/06/09;Conversie
FT230;Fietstrommel;PR HENDRIKLN;38;51,91075897;4,490330219;Feijenoord;07/06/09;Conversie
FT231;Fietstrommel;VD TAKSTR;118;51,91386032;4,496669769;Feijenoord;07/06/09;Conversie
FT232;Fietstrommel;PERSOONSSTR;65;51,91027832;4,506690025;Feijenoord;13/07/10;STREPE
FT233;Fietstrommel;MILLINXSTR;110;51,89149094;4,492919922;Charlois;07/06/09;Conversie
FT234;Fietstrommel;MILLINXSTR;110;51,89149094;4,492929935;Charlois;07/06/09;Conversie
FT235;Fietstrommel;PR MAURITSSNGL;21;51,93785858;4,42414999;Overschie;07/06/09;Conversie
FT236;Fietstrommel;A CUYPSTR;2;51,93864822;4,426690102;Overschie;13/07/10;STREPE
FT237;Fietstrommel;DE LORMESTR;3;51,93991089;4,426780224;Overschie;07/06/09;Conversie
FT238;Fietstrommel;DE LORMESTR;3;51,93991089;4,426790237;Overschie;07/06/09;Conversie
FT239;Fietstrommel;BUTTERVLIETSTR;13;51,9358902;4,437039852;Overschie;13/07/10;BEHEER-STZ
FT24;Fietstrommel;OOSTMAASLN;123;51,91817093;4,511750221;Kralingen/Crooswijk;07/06/09;Conversie
FT240;Fietstrommel;SAENREDAMPLN;5;51,93849182;4,422110081;Overschie;13/07/10;STREPE
FT241;Fietstrommel;SAENREDAMPLN;5;51,93849182;4,422120094;Overschie;13/07/10;BEHEER-STZ
FT242;Fietstrommel;PROF BOLKLN;10;51,93746185;4,421840191;Overschie;07/06/09;Conversie
FT243;Fietstrommel;T JACOBALN;2;51,93637848;4,423220158;Overschie;07/06/09;Conversie
FT244;Fietstrommel;BURG BOSSTR;51;51,94316864;4,42648983;Overschie;07/06/09;Conversie
FT245;Fietstrommel;BURG BOSSTR;73;51,94266891;4,427299976;Overschie;07/06/09;Conversie
FT246;Fietstrommel;ZESTIENHOVENSEKD;5;51,94084167;4,422929764;Overschie;07/06/09;Conversie
FT247;Fietstrommel;P V ASCHSTR;45;51,93946838;4,424469948;Overschie;13/07/10;BEHEER-STZ
FT248;Fietstrommel;P V ASCHSTR;22;51,93959045;4,424769878;Overschie;07/06/09;Conversie
FT249;Fietstrommel;SCHIELN;23;51,94379044;4,421969891;Overschie;07/06/09;Conversie
FT25;Fietstrommel;BREITNERSTR;89 a;51,91410065;4,466969967;Centrum;07/06/09;Conversie
FT250;Fietstrommel;ZESTIENHOVENSEKD;250;51,93917847;4,43407011;Overschie  ;07/06/09;Conversie
FT251;Fietstrommel;CLEYBURCHSTR;48;51,93325043;4,454130173;Noord;13/07/10;BEHEER-STZ
FT252;Fietstrommel;VD DUSSENSTR;10;51,93104935;4,456580162;Noord;13/07/10;STREPE
FT253;Fietstrommel;VD DUSSENSTR;12;51,9310112;4,456439972;Noord;07/06/09;Conversie
FT254;Fietstrommel;BYLWERFFSTR;20;51,93244934;4,457129955;Noord;13/07/10;STREPE
FT255;Fietstrommel;SOURYSTR;50;51,93412018;4,458439827;Noord;07/06/09;Conversie
FT256;Fietstrommel;SOURYSTR;50;51,93412018;4,458449841;Noord;13/07/10;STREPE
FT257;Fietstrommel;NOORDERHAVENKD;31;51,93466949;4,458990097;Noord;07/06/09;Conversie
FT258;Fietstrommel;NOORDERHAVENKD;65;51,93392944;4,459630013;Noord;07/06/09;Conversie
FT259;Fietstrommel;SONMANSSTR;138;51,93249893;4,459899902;Noord;13/07/10;BEHEER-STZ
FT26;Fietstrommel;BREITNERSTR;109 c;51,91324997;4,467100143;Centrum;07/06/09;Conversie
FT260;Fietstrommel;SONMANSSTR;140;51,93246078;4,459929943;Noord;13/07/10;STREPE
FT261;Fietstrommel;NOBELSTR;101;51,93151855;4,459630013;Noord;13/07/10;BEHEER-STZ
FT262;Fietstrommel;DE KEMPENAERSTR;12;51,93532181;4,461939812;Noord;13/07/10;STREPE
FT263;Fietstrommel;LUZACSTR;2;51,935009;4,462920189;Noord;07/06/09;Conversie
FT264;Fietstrommel;KERDYKSTR;16;51,93326187;4,462729931;Noord;01/04/11;franno
FT265;Fietstrommel;BERGSELN;277;51,93357849;4,464690208;Noord;13/07/10;BEHEER-STZ
FT266;Fietstrommel;BERGSELN;305;51,93284988;4,463620186;Noord;13/07/10;STREPE
FT267;Fietstrommel;BERGSELN;338;51,93367004;4,465119839;Noord;07/06/09;Conversie
FT268;Fietstrommel;BERGSELN;364;51,93291092;4,464039803;Noord;13/07/10;STREPE
FT269;Fietstrommel;SCHIEWG;104;51,93281937;4,465990067;Noord;13/07/10;BEHEER-STZ
FT27;Fietstrommel;OCHTERVELTSTR;23;51,91362;4,466460228;Centrum;07/06/09;Conversie
FT270;Fietstrommel;SCHIEWG;117;51,93341827;4,465720177;Noord;07/06/09;Conversie
FT271;Fietstrommel;STADHOUDERSWG;86;51,93098068;4,460939884;Noord;13/07/10;BEHEER-STZ
FT272;Fietstrommel;NOLENSSTR;69;51,93006134;4,462830067;Noord;13/07/10;STREPE
FT273;Fietstrommel;NOLENSSTR;47;51,93062973;4,463829994;Noord;13/07/10;BEHEER-STZ
FT274;Fietstrommel;DOEZASTR;17;51,92858124;4,463399887;Noord;13/07/10;STREPE
FT275;Fietstrommel;STATENSNGL;48;51,92908859;4,462580204;Noord;13/07/10;BEHEER-STZ
FT276;Fietstrommel;STATENSNGL;48;51,92908859;4,462590218;Noord;13/07/10;STREPE
